user_id,cluster,cluster_name,cluster_profile,total_spend,avg_spend,purchase_count,unique_sessions,categories_purchased,brands_purchased,cart_to_purchase_ratio,view_to_purchase_ratio
543675827.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,3.0
543677400.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
543678929.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
543720148.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,2,0.0,5.0
543725938.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,2,0.0,2.0
543805607.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
543838283.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,2,2,2,0.0,6.0
543903232.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
543907553.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,2,0.0,2.0
543907814.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
543924190.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,2,1,0.0,4.0
543926031.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,2.0
543945962.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,2,5,0.0,5.0
544000492.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,3.0
544014345.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,7,0.0,12.0
544031367.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,4.0
544032657.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,3.0
544092181.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,3.0
544093653.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,1,0.0,1.0
544123473.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
544148577.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,2,0.0,7.0
544148702.0,0,Efficient_Buyers,"High conversion, moderate spending",0.0,0.0,0.0,1,1,1,0.0,1.0
544170855.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
544256724.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,1,2,1.0,10.0
544261159.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,5,4,9,0.0,15.0
544347571.0,3,Category_Explorers,"Most diverse, high engagement",0.0,0.0,0.0,1,2,3,0.0,4.0
544373753.0,1,Premium_Customers,"Highest spending, premium buyers",0.0,0.0,0.0,1,1,1,0.0,1.0
544401844.0,2,Budget_Browsers,"Price-sensitive, largest segment",0.0,0.0,0.0,1,1,1,0.0,1.0
